chart,kernel,shape,E,M,N,backend,math,us,bytes,gbps,peak_gbps,estimated,te_excluded_amax_us
linear_amax,Linear RHT amax,hidden-state input,0,32768,7168,te,standard,78.4467,469762048,5988.296,7928.1,0,
linear_amax,Linear RHT amax,hidden-state input,0,32768,7168,cutedsl,standard,74.3554,469762048,6317.797,7928.1,0,
linear_amax,Linear RHT amax,hidden-state input,0,32768,7168,triton,standard,114.0639,469762048,4118.411,7928.1,0,
linear_amax,Linear RHT amax,hidden-state input,0,32768,7168,te,fast,78.7213,469762048,5967.409,7928.1,0,
linear_amax,Linear RHT amax,hidden-state input,0,32768,7168,cutedsl,fast,74.1923,469762048,6331.684,7928.1,0,
linear_amax,Linear RHT amax,hidden-state input,0,32768,7168,triton,fast,114.1516,469762048,4115.247,7928.1,0,
linear_amax,Linear RHT amax,dense-MLP down input,0,32768,18432,te,standard,173.5096,1207959552,6961.918,7928.1,0,
linear_amax,Linear RHT amax,dense-MLP down input,0,32768,18432,cutedsl,standard,187.1772,1207959552,6453.562,7928.1,0,
linear_amax,Linear RHT amax,dense-MLP down input,0,32768,18432,triton,standard,270.7439,1207959552,4461.632,7928.1,0,
linear_amax,Linear RHT amax,dense-MLP down input,0,32768,18432,te,fast,173.1015,1207959552,6978.331,7928.1,0,
linear_amax,Linear RHT amax,dense-MLP down input,0,32768,18432,cutedsl,fast,187.1501,1207959552,6454.496,7928.1,0,
linear_amax,Linear RHT amax,dense-MLP down input,0,32768,18432,triton,fast,270.7734,1207959552,4461.146,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,hidden-state input,0,32768,7168,te,standard,111.1135,734003200,6605.888,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,hidden-state input,0,32768,7168,cutedsl,standard,257.4328,734003200,2851.242,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,hidden-state input,0,32768,7168,triton,standard,416.0337,734003200,1764.288,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,hidden-state input,0,32768,7168,te,fast,110.3216,734003200,6653.307,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,hidden-state input,0,32768,7168,cutedsl,fast,119.7813,734003200,6127.863,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,hidden-state input,0,32768,7168,triton,fast,338.5218,734003200,2168.260,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,dense-MLP down input,0,32768,18432,te,standard,288.4681,1887436800,6542.965,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,dense-MLP down input,0,32768,18432,cutedsl,standard,651.9476,1887436800,2895.074,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,dense-MLP down input,0,32768,18432,triton,standard,1045.6940,1887436800,1804.961,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,dense-MLP down input,0,32768,18432,te,fast,291.2401,1887436800,6480.690,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,dense-MLP down input,0,32768,18432,cutedsl,fast,307.1931,1887436800,6144.137,7928.1,0,
linear_quantize_1d,Linear RHT row+col quantize,dense-MLP down input,0,32768,18432,triton,fast,848.2912,1887436800,2224.987,7928.1,0,
linear_weight_2d,Linear 2D weight quantize,dense-MLP gate/up weight,0,18432,7168,te,standard,97.8659,412876800,4218.801,7928.1,0,50.5197
linear_weight_2d,Linear 2D weight quantize,dense-MLP gate/up weight,0,18432,7168,cutedsl,standard,118.9151,412876800,3472.031,7928.1,0,
linear_weight_2d,Linear 2D weight quantize,dense-MLP gate/up weight,0,18432,7168,triton,standard,331.9084,412876800,1243.948,7928.1,0,
linear_weight_2d,Linear 2D weight quantize,dense-MLP gate/up weight,0,18432,7168,te,fast,97.5692,412876800,4231.632,7928.1,0,50.5779
linear_weight_2d,Linear 2D weight quantize,dense-MLP gate/up weight,0,18432,7168,cutedsl,fast,118.7068,412876800,3478.121,7928.1,0,
