chart,family,bucket,x_name,shape,E,tokens,N,backend,math,us,bytes,gbps,peak_gbps
linear_amax,linear,amax,tokens/rank,hidden-state input,0,512,7168,te,standard,4.448019999999904,7340032,1650.1796304873087,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,512,7168,te,standard,7.5763400000000045,11468800,1513.7652217297525,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,512,7168,cutedsl,standard,7.288320000000117,7340032,1007.0951879170896,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,512,7168,triton,standard,14.382780000000116,7340032,510.33471971343096,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,512,7168,cutedsl,standard,8.397480000000078,11468800,1365.7430562501954,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,512,7168,triton,standard,16.588279999999983,11468800,691.3796969908882,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,512,7168,te,fast,4.440340000000017,7340032,1653.0337766927694,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,512,7168,te,fast,6.120280000000009,11468800,1873.9011940630137,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,512,7168,cutedsl,fast,7.293460000000068,7340032,1006.3854466878452,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,512,7168,triton,fast,14.355879999999924,7340032,511.29098320688377,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,512,7168,cutedsl,fast,6.488320000000052,11468800,1767.6070230814612,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,512,7168,triton,fast,15.156519999999905,11468800,756.6908498784729,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,1024,7168,te,standard,4.789780000000027,14680064,3064.872290585354,7928.1
linear_quantize_1d,linear,quantize,tokens/rank,hidden-state input,0,1024,7168,te,standard,11.73566000000002,22937600,1954.5215181762217,7928.1
linear_amax,linear,amax,tokens/rank,hidden-state input,0,1024,7168,cutedsl,standard,8.441639999999833,14680064,1739.0061646789356,7928.1
